konz;art;sauer
k1;a1;7,16
k1;a1;8,26
k1;a2;6,14
k1;a2;6,14
k1;a1;6,78
k1;a1;14
k1;a2;3,86
k1;a2;10
k1;a1;13,6
k1;a1;16,1
k1;a2;10,4
k1;a2;11,6
k1;a1;8,93
k1;a1;9,66
k1;a2;5,49
k1;a2;5,8
k2;a1;5,2
k2;a1;13,2
k2;a2;4,47
k2;a2;4,95
k2;a1;5,2
k2;a1;8,39
k2;a2;9,9
k2;a2;6,49
k2;a1;7,18
k2;a1;10,4
k2;a2;5,75
k2;a2;5,44
k2;a1;6,37
k2;a1;7,18
k2;a2;11,8
k2;a2;9,9
k3;a1;11,11
k3;a1;10,5
k3;a2;9,63
k3;a2;14,5
k3;a1;9,74
k3;a1;14,6
k3;a2;6,38
k3;a2;10,2
k3;a1;18,8
k3;a1;11,1
k3;a2;13,4
k3;a2;17,7
k3;a1;9,74
k3;a1;11,8
k3;a2;14,5
k3;a2;12,3
