variety;fertilizer;yield
v1;f1;57
v2;f1;26
v3;f1;39
v4;f1;23
v5;f1;48
v1;f1;46
v2;f1;38
v3;f1;39
v4;f1;36
v5;f1;35
v1;f1;28
v2;f1;20
v3;f1;43
v4;f1;18
v5;f1;48
v1;f2;67
v2;f2;44
v3;f2;57
v4;f2;74
v5;f2;61
v1;f2;72
v2;f2;68
v3;f2;61
v4;f2;47
v5;f2;60
v1;f2;66
v2;f2;64
v3;f2;61
v4;f2;69
v5;f2;75
v1;f3;95
v2;f3;92
v3;f3;91
v4;f3;98
v5;f3;78
v1;f3;89
v2;f3;99
v3;f3;98
v4;f3;85
v5;f3;95
v1;f3;90
v2;f3;89
v3;f3;82
v4;f3;85
v5;f3;89
v1;f4;92
v2;f4;96
v3;f4;98
v4;f4;99
v5;f4;99
v1;f4;88
v2;f4;95
v3;f4;93
v4;f4;90
v5;f4;98
v1;f4;99
v2;f4;99
v3;f4;98
v4;f4;98
v5;f4;99
